ID,Pais,Cidade,Zipcode,Estado
54355,Brasil,BLUMENAU,35146,SC
61391,Brasil,OSASCO,76166,SP
61392,Brasil,OSASCO,76177,SP
61393,Brasil,SANTOS,76177,SP
76511,Brasil,CAXIAS,27007,RS
76512,Brasil,PORTO ALEGRE,27203,RS
76513,Brasil,PORTO ALEGRE,27204,RS
54356,Brasil,MACEIO,35585,AL
54354,Brasil,MACEIO,36275,AL
39827,Brasil,NATAL,85209,RN
39828,Brasil,NATAL,85210,RN
49347,Brasil,CAMPOS,32564,RJ
49348,Brasil,RIO DE JANEIRO,34487,RJ
49345,Brasil,CAMPOS,32046,RJ
49346,Brasil,CAMPOS,34445,RJ
1,Brasil,CURITIBA,704,PR
2,Brasil,CURITIBA,704,PR
10,Brasil,CASCAVEL,709,PR
4,Brasil,CURITIBA,704,PR
3,Brasil,CASCAVEL,704,PR
